date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-07-30,9206,6911,4449897,643.886123571119,,121335493200.826,,,,,0,,39311.09375,19.914903963619,,39311.09375,,,,,,,,72049301.59323,0,0,0,,,,,,0,,,,
2015-07-31,424,6863,3994458,582.027976103745,,602941851593.554,,,,,0,,36191.71875,18.3254310081202,,36191.71875,,,,,,,,72085493.31198,0,0,0,,,,,,0,,,,
2015-08-01,413,5293,3044344,575.164179104478,,887254173531.021,,,,,0,,27702.1875,14.0214261307737,,27702.1875,,,,,,,,72113195.49948,0,0,0,,,,,,0,,,,
2015-08-02,432,5358,3112348,580.878686076894,,1020253707547.48,,,,,0,,28227.1875,14.2815639805222,,28227.1875,,,,,,,,72141422.68698,0,0,0,,,,,,0,,,,
2015-08-03,444,5280,3099953,587.112310606061,,1125837358847.06,,,,,0,,27976.71875,14.149351979974,,27976.71875,,,,,,,,72169399.40573,0,0,0,,,,,,0,,,,
2015-08-04,411,5368,3150854,586.969821162444,,1216587344565.17,,,,,0,,28478.4375,14.3974172067368,,28478.4375,,,,,,,,72197877.84323,0,0,0,,,,,,0,,,,
2015-08-05,411,5235,3030780,578.945558739255,,1327837857486.72,,,,,0,,27528.59375,13.9119144002565,,27528.59375,,,,,,,,72225406.43698,0,0,0,,,,,,0,,,,
2015-08-06,396,5116,2986060,583.670836591087,,1380846362251.63,,,,,0,,27075.46875,13.6777946349913,,27075.46875,,,,,,,,72252481.90573,0,0,0,,,,,,0,,,,
2015-08-07,1390,5189,3282693,632.625361341299,,1470838650662.28,0.0182041041518435,,0.0013207788662355,,37.318413511279304835,,27437.65625,13.855500382319,,27437.65625,,37.84427133,,,,,,72279919.56198,2050,2018,1909930.27518121,,995.367056705633,,16.1041824032697,,2008650.720431966665378901,,,,
2015-08-08,1208,5256,3508878,667.594748858447,86768712.52074598350764110016,1586123528941.25,0.0236376154362569,0.02836490214735391033971536912,0.001243194429666,0.0014918208836549029670416711,68.099970071856826797,81.71928308652745315814100844,27943.4375,14.1054572274849,33531.84556562499161696875,27943.4375,33531.84556562499161696875,5.38980006,,0.004589744636468902,1.1999899999999997,,,72307862.99948,2881,2663,13415685.5975655,16098688.56022262032029432073,5101.05678797403,6121.217135000954729382963608,1,1.1999899999999997,13584114.226374854422713502,16300801.23050755748347770735,,,
2015-08-09,1113,5123,3167541,618.298067538552,86801326.18646317099948761578,1709479787484.64,0.0106086905215994,0.01273032253901406082339284352,0.001223010533325,0.001467600409884666383096840002,14.098949703205590944,16.91859865434967284720564904,27178.28125,13.7140623418607,32613.665717187491846515625,27178.28125,32613.665717187491846515625,70.37407159,,0.004505447536765262,1.1999899999999997,,,72335041.28073,1329,1266,1027864.94585457,1233427.656376025145940516244,921.287176231885,1105.53539860649940476384713,12.99939719,15.599146634028096100180843,1166349.565109566912221277,1399607.814635828849091540654,,,
2015-08-10,1430,5255,3316883,631.186108468126,86834706.72078973349114241266,1837695763267.62,0.0152995308975841,0.01835928408179193956914073072,0.00122826248427035,0.001473902698499576928021254719,31.165144438378735884,37.39786167461008992389782849,27817.34375,14.0311351178644,33380.534326562491654796875,27817.34375,33380.534326562491654796875,49.82435968,,0.004529480696843423,1.1999899999999997,,,72362858.62448,2037,2078,1452359.02851324,1742816.310625602431892291446,804.829350028686,965.7871717409226716911949914,0.5983403,0.71800237659699982049791,1672435.389359610040431298,2006905.742877637950686536479,,,
2015-08-11,2697,5280,3653834,692.014015151515,71666977.5726102072390886437,2036390797503.48,0.00227915546766469,0.002256363912988043327915546766,0.001217964866769,0.001205785218101310121796486677,11.31144858601975503,11.1983341001595586108448586,28027.8125,14.1318224793474,27747.53437500000280278125,28027.8125,27747.53437500000280278125,60.22035209,,0.0036474602740184333,0.9900000000000001,,,72390886.43698,4963,5047,1202100.01979648,1190079.01959851532021000198,294.681750526204,291.7349330209419894681750526,0.0545382,0.05399281800000000545382,1487258.794905751519981542,1472386.206956694153507606071,,,
2015-08-12,1219,5124,3348157,653.426424668228,93274715.49833024,2207079742289.72,0.0160053990198318,0.0206149539375433584,0.001244069511888,0.001602361531311744,32.58699240437774165,41.9720462168385312452,27370.9375,13.7954053987228,35253.7675,27370.9375,35253.7675,113.76126346,,0.004803391579359668,1.288,,,72418257.37448,2036,1968,636580.986965549,819916.311211627112,382.281012105267,492.377943591583896,10,12.88,752329.031823166247513912,968999.792988238126797918656,,,
2015-08-13,1606,5286,3519008,665.722285281877,136547211.2614199257339576498,2336979708057.89,0.00877169919420939,0.01653289864124586090350975826,0.001210095720036,0.002280788413123853163028716011,24.929169109943118841,46.98649793842079787026753298,28268.125,14.2420434297764,53279.7620000000084804375,28268.125,53279.7620000000084804375,46.93799647,,0.007120739005894414,1.8848000000000003,,,72446525.49948,2842,2792,1543451.59446583,2909097.56524919684703547834,639.963618163232,1206.203427514059865589085449,9.995,18.8385760000000029985,1786778.421911743389342624,3367719.969619254476266504289,,,
2015-08-14,1893,5809,3832496,659.751420210019,130100550.6235672170603377186,2671253150471.51,0.0045226320456293,0.008118324252543187434206806321,0.001210110728064,0.002172202198363386492606239731,14.354834112827458118,25.76756117757218447162853062,31106.71875,15.6654570468904,55837.933906035040252171875,31106.71875,55837.933906035040252171875,36.93541976,,0.0067392683339478135,1.7950441624780833,,,72477632.21823,3174,3085,1962279.91160255,3522379.100470166697475755392,745.363813340425,1337.960962059133606431224407,12.18635044,21.875037219234221913311652,2299447.364155210606159907,4127609.567952426244499447098,,,
2015-08-15,1601,5382,3435520,638.33519137867,129222078.6518518426726027567,3378028425874.26,0.00386891113312036,0.006895260251480718790593459217,0.0012097606616655,0.00215606260189787424498578009,8.836593028046850811,15.74877441438187005979743899,28512.65625,14.3534310771403,50815.895878744157019421875,28512.65625,50815.895878744157019421875,9.60305969,,0.006804016059144804,1.7822224430157803,,,72506144.87448,2284,2202,7550317.00291521,13456344.41447912995545913289,3507.79228296776,6251.666132142702532000596143,10.9695153408554,19.55011642947839094067550047,7724158.607094997362294923,13766168.82297821287217535494,,,
2015-08-16,1542,5132,3287835,640.653741231489,111198807.1900537339401899947,3631632144442.79,0.00273657292004328,0.004195368178652938618885302762,0.001207801265937,0.001851648446908071391159071954,6.677237924905556046,10.23669835591309793951932552,27094.53125,13.6344439973665,41537.9153207325706265625,27094.53125,41537.9153207325706265625,47.62980327,,0.005920785293245876,1.533073775569842,,,72533239.40573,2440,2381,1522854.06265516,2334647.627476618869200541685,724.607691056713,1110.877048735260633888714449,8.27630383,12.68818436042124377709486,1725290.912406032944551032,2644998.253038654483184494934,,,
2015-08-17,1522,5347,3393782,634.707686553207,94067093.6884846324,3908024035252.58,0.00304252063679737,0.0039442629031313745206,0.001210227972051,0.00156891533840747538,7.642811839634956979,9.90798841266596552843602,28118.90625,14.1444441228927,36452.787684375,28118.90625,36452.787684375,33.36085742,,0.005024545650337464,1.29638,,,72561358.31198,2512,2520,2175044.76574991,2819684.5334228683258,1351.34595281805,1751.857866314263659,8.25937464920241,10.7072881077330202758,3405391.801101473656746222,4414681.823111928419132667276,,,
